"","STATEFIPS","STATE","COUNTYFIPS","COUNTYNAME","year","num.returns","married.pct","dependents.ratio","adjusted.gross.income.avg","wages.avg","farming.ratio","unemployed.ratio","dividends.ratio","business.ratio","realestate.ratio","mortgage.ratio","contributions.ratio","taxcredits.ratio"
"1968","37","NC","089","Henderson County",2013,50910,0.444706344529562,0.57100766057749,49.6049891966215,29.9840895698291,0.00883912787271656,0.0467491651934787,0.228245924179925,0.174229031624435,0.281477116480063,0.231388725201336,1.38727165586329,14530
"1969","37","NC","091","Hertford County",2013,8690,0.284234752589183,0.769850402761795,37.8263521288838,28.4260069044879,0.0115074798619102,0.0563866513233602,0.0863060989643268,0.125431530494822,0.177215189873418,0.14614499424626,0.949021864211738,2430
"1970","37","NC","093","Hoke County",2013,19780,0.38675429726997,0.957532861476239,39.5989888776542,33.7116279069767,0.00808897876643074,0.0728008088978766,0.0778564206268959,0.12891809908999,0.209807886754297,0.204752275025278,0.820475227502528,7430
"1971","37","NC","095","Hyde County",2013,2100,0.357142857142857,0.723809523809524,41.972380952381,24.1285714285714,0.0285714285714286,0.1,0.119047619047619,0.261904761904762,0.157142857142857,0.119047619047619,0.937142857142857,540
"1972","37","NC","097","Iredell County",2013,75370,0.432400159214542,0.699349873955155,59.9641236566273,45.505890938039,0.0141966299588696,0.0688602892397506,0.190659413559772,0.162531511211357,0.312193180310468,0.281677059838132,1.36839591349343,24100
"1973","37","NC","099","Jackson County",2013,15000,0.400666666666667,0.526,42.1368666666667,27.2898,0.012,0.076,0.154666666666667,0.196666666666667,0.189333333333333,0.160666666666667,0.8594,4050
"1974","37","NC","101","Johnston County",2013,76020,0.430676137858458,0.830307813733228,49.5444488292555,39.4057221783741,0.013943699026572,0.0566956064193633,0.121020784004209,0.163509602736122,0.310181531176006,0.289265982636148,1.05760326229939,26000
"1975","37","NC","103","Jones County",2013,4300,0.395348837209302,0.644186046511628,38.9544186046512,27.6006976744186,0.0302325581395349,0.0627906976744186,0.0906976744186047,0.13953488372093,0.172093023255814,0.151162790697674,0.712093023255814,1170
"1976","37","NC","105","Lee County",2013,25860,0.37277648878577,0.842227378190255,45.5601314771848,33.4537122969838,0.0116009280742459,0.0757927300850735,0.145398298530549,0.138437741686002,0.244392884764114,0.211910286156226,1.02134570765661,8670
"1977","37","NC","107","Lenoir County",2013,25670,0.317880794701987,0.755746007012076,41.3295286326451,27.6019088430074,0.016361511492014,0.0549279314374757,0.0970003895597974,0.135566809505259,0.179197506817296,0.14608492403584,1.02239968835216,7440
"1978","37","NC","109","Lincoln County",2013,34380,0.464514252472368,0.681210005817336,54.9582315299593,42.6251308900524,0.0151250727166958,0.0762070971495055,0.180628272251309,0.155904595695172,0.307737056428156,0.275159976730657,1.33356602675974,10940
"1979","37","NC","111","McDowell County",2013,18100,0.437016574585635,0.66353591160221,38.9974033149171,29.7055801104972,0.0121546961325967,0.087292817679558,0.0961325966850829,0.141988950276243,0.162430939226519,0.138121546961326,0.664917127071823,5440
"1980","37","NC","113","Macon County",2013,15210,0.451676528599605,0.56344510190664,42.7337278106509,24.3894148586456,0.0170940170940171,0.0788954635108481,0.196581196581197,0.21301775147929,0.2077580539119,0.170940170940171,1.80203813280736,3720
