"STATE","COUNTYNAME","fips","Year","num.returns","married.pct","dependents.ratio","adjusted.gross.income.avg","wages.avg","farming.ratio","unemployed.ratio","dividends.ratio","business.ratio","realestate.ratio","mortgage.ratio","contributions.ratio","taxcredits.ratio"
"NJ","Camden County","34007",2015,246100,0.321332791548151,0.653636733035352,63.7848394961398,48.1751198699716,0.000650142218610321,0.0651361235270215,0.185859406745226,0.122876879317351,0.351645672490857,0.291710686712718,1.07176351076798,0.310564811052418
"NJ","Cape May County","34009",2015,49820,0.366519470092332,0.462866318747491,59.9794660778804,34.8819349658772,0.00260939381774388,0.128863910076275,0.257928542753914,0.152348454435969,0.321758329987957,0.255118426334805,0.890746688077077,0.260136491368928
"NJ","Cumberland County","34011",2015,67190,0.295728531031404,0.785533561541896,47.1867837475815,35.0776008334574,0.00699508855484447,0.0885548444709034,0.129185890757553,0.0912338145557375,0.241107307635065,0.199136776305998,0.694016966810537,0.313290668254204
"NJ","Essex County","34013",2015,370380,0.266996058102489,0.696473891678816,88.5636481451482,59.5615368000432,0.000188995086127761,0.0556725525136346,0.187861115610994,0.182434256709326,0.269938981586479,0.215481397483665,1.52407527404287,0.309114963010962
"NJ","Gloucester County","34015",2015,140590,0.396614268440145,0.619105199516324,69.8867060246106,54.1382032861512,0.00376982715698129,0.0728359058254499,0.20783839533395,0.118927377480617,0.422007255139057,0.360836474855964,1.07906678995661,0.309054698058183
"NJ","Hudson County","34017",2015,331950,0.263292664557915,0.54809459255912,67.6967886729929,57.6982045488778,0.000120500075312547,0.05109203193252,0.143756589847869,0.166350353968971,0.166018978761862,0.140533212833258,0.667555354722097,0.253773158608224
"NJ","Hunterdon County","34019",2015,64620,0.455122253172392,0.554781801299907,118.998854843702,84.1119777158774,0.0218198700092851,0.0510677808727948,0.416898792943361,0.180748994119468,0.525224388734138,0.416898792943361,1.95852677189725,0.313679975239864
"NJ","Mercer County","34021",2015,175890,0.342543635226562,0.618682130877253,91.8508897606459,65.1805674000796,0.00170561146170902,0.0516800272897834,0.261185968503042,0.141338336460288,0.3686963443061,0.292455511967707,1.87147649098869,0.31752800045483
"NJ","Middlesex County","34023",2015,405530,0.391389046433063,0.642171972480458,75.7890464330629,59.4390747910142,0.000567159026459201,0.0583927206371908,0.23712179123616,0.133233053041699,0.358469163810322,0.286168717480828,1.21407787340024,0.317017236702587
"NJ","Monmouth County","34025",2015,321780,0.392659581080241,0.591397849462366,100.075296786624,69.0621107589036,0.00220647647460998,0.0548822176642427,0.321896948225496,0.1589906147057,0.440021132450743,0.353595624339611,1.55550997575984,0.289794269376593
"NJ","Morris County","34027",2015,254130,0.426907488293393,0.58906858694369,124.405028922205,88.5080352575453,0.00196749695037973,0.0500137724786527,0.382678156848857,0.158855703773659,0.467870774800299,0.363554086491166,2.0580529650179,0.323102349191359
"NJ","Ocean County","34029",2015,283620,0.40878640434384,0.627776602496298,63.3276426204076,41.3156794302235,0.000916719554333263,0.0652281221352514,0.262604893872082,0.139376630703053,0.381813694379804,0.307665185812002,1.2769691841196,0.27156053874903
"NJ","Passaic County","34031",2015,249540,0.302957441692715,0.707782319467821,57.4331530015228,44.2468301675082,0.000520958563757313,0.0695680051294382,0.173238759317144,0.155045283321311,0.278312094253426,0.216879057465737,0.858235152680933,0.294020998637493
"NJ","Salem County","34033",2015,30720,0.3701171875,0.6220703125,57.96474609375,43.0487955729167,0.0221354166666667,0.0748697916666667,0.195638020833333,0.100911458333333,0.327799479166667,0.262369791666667,0.86455078125,0.2958984375
"NJ","Somerset County","34035",2015,168590,0.416454119461415,0.625244676433952,122.437404353758,89.0730470371908,0.00237261996559701,0.0519603772465745,0.367044308677858,0.155169345750044,0.45993238033098,0.362358384245803,1.99689186784507,0.3332344741681
"NJ","Sussex County","34037",2015,72900,0.424142661179698,0.544307270233196,77.6258436213992,58.1620576131687,0.0146776406035665,0.0699588477366255,0.270507544581619,0.149931412894376,0.458573388203018,0.385185185185185,1.08097393689986,0.292318244170096
"NJ","Union County","34039",2015,274180,0.320081698154497,0.664709315048508,83.1870960682763,62.4078525056532,0.000182361952002334,0.0576993216135386,0.218506090889197,0.15777956087242,0.331497556349843,0.260485812240134,1.41180246553359,0.310817710992778
"NJ","Warren County","34041",2015,53550,0.404855275443511,0.553874883286648,68.3131092436975,51.7559850606909,0.0175536881419234,0.0687208216619981,0.255275443510738,0.133706816059757,0.40765639589169,0.335947712418301,0.885564892623716,0.291316526610644
"NM","New Mexico","35000",2015,917220,0.344094110464229,0.673546150323804,50.8785514925536,35.2560203658882,0.0148601207998081,0.0344519308344781,0.137862235886701,0.142484900023986,0.193966551100063,0.169152438891433,0.860016135714441,0.297169708466889
"NM","Bernalillo County","35001",2015,309130,0.319768382234012,0.604632355319768,55.1581502927571,38.4550803868922,0.00294374534985281,0.0299873839485006,0.165140879241743,0.136512146993174,0.244492608287775,0.215281596739236,0.960463235531977,0.306828842234659
"NM","Catron County","35003",2015,1360,0.492647058823529,0.352941176470588,38.5897058823529,16.4551470588235,0.110294117647059,0.0294117647058824,0.183823529411765,0.242647058823529,0.102941176470588,0.0735294117647059,0.696323529411765,0.169117647058824
"NM","Chaves County","35005",2015,25780,0.37121799844841,0.821567106283941,43.5687742435997,32.7148952676493,0.0201706749418154,0.0360744763382467,0.0985259891388673,0.123739332816137,0.128006206361521,0.105120248254461,0.767183863460047,0.308766485647789
"NM","Cibola County","35006",2015,9440,0.301906779661017,0.792372881355932,36.9354872881356,28.172563559322,0.0275423728813559,0.0307203389830508,0.0614406779661017,0.13771186440678,0.0773305084745763,0.0603813559322034,0.293326271186441,0.276483050847458
"NM","Colfax County","35007",2015,5450,0.36697247706422,0.510091743119266,41.4005504587156,26.3022018348624,0.0348623853211009,0.0348623853211009,0.157798165137615,0.146788990825688,0.128440366972477,0.104587155963303,0.553394495412844,0.234862385321101
"NM","Curry County","35009",2015,21150,0.391016548463357,0.796217494089835,40.8636406619385,33.8402836879433,0.0236406619385343,0.0179669030732861,0.108274231678487,0.10354609929078,0.114893617021277,0.102600472813239,0.628888888888889,0.337115839243499
"NM","De Baca County","35011",2015,820,0.414634146341463,0.621951219512195,32.8158536585366,22.7853658536585,0.219512195121951,0,0.121951219512195,0.170731707317073,0.0853658536585366,0.0487804878048781,0.765853658536585,0.195121951219512
"NM","Dona Ana County","35013",2015,90980,0.344251483842603,0.730380303363377,42.4507144427347,29.6071444273467,0.0139591118927237,0.0427566498131457,0.108595295669378,0.143328204000879,0.150802374148164,0.131787205979336,0.597395031875137,0.29270169267971
"NM","Eddy County","35015",2015,24500,0.398367346938776,0.780816326530612,67.1196734693877,47.9482040816327,0.02,0.0322448979591837,0.0979591836734694,0.122040816326531,0.166938775510204,0.14530612244898,1.20804081632653,0.312244897959184
"NM","Grant County","35017",2015,12320,0.388798701298701,0.5625,45.4685064935065,28.4481331168831,0.023538961038961,0.0308441558441558,0.167207792207792,0.145292207792208,0.12987012987013,0.103896103896104,0.542288961038961,0.260551948051948
